date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,bracket_number,horse_number,horse_name,father_name,mother_name,sex,age,weight_carried,jockey,stable,horse_weight,weight_diff,horse_id
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,1,1,ラブミーカンヌ,デクラレーションオブウォー,Tempo West,牝,3,54.0,藤本現暉,大井赤嶺亮,506,-2.0,2023105556
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,2,2,ムサシタルマエ,ホッコータルマエ,マダムチェロキー,牡,3,55.0,中山遥人,大井栗田泰昌,449,2.0,2023106064
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,3,3,トイロ,パイロ,Wild Vision,牡,3,57.0,吉井章,大井的場直之,494,4.0,2023101608
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,4,4,ヒュプシュ,リアルスティール,ラヴズオンリーミー,牡,3,56.0,岡村健司,大井村上頼章,493,-1.0,2023107031
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,5,5,ベイビーザロック,マテラスカイ,Mostaqeleh,牡,3,56.0,野畑凌,大井田中正人,498,-4.0,2023100680
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,6,6,リコーヒューズ,ヘニーヒューズ,Meadow Flyer,牡,3,56.0,矢野貴之,大井荒山勝徳,498,-1.0,2023101620
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,7,7,カンノンハヤテ,ミッキーグローリー,メリッサ,牡,3,56.0,西啓太,大井橋本和馬,489,-3.0,2023101875
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,8,8,ミエノワイルド,バーディバーディ,ホームスイートホーム,牡,3,56.0,和田譲治,大井坂井英光,504,0.0,2023102966
2026/03/27,大井,晴,1,3歳一二三(3歳二),ダ,1600,不,9,8,9,オーヴァザトラブル,サートゥルナーリア,シーザリオ,牡,3,56.0,藤田凌,大井中道啓二,520,0.0,2023103296
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,1,1,リクコウ,モーニン,Giggly,牝,3,55.0,高橋昭平,大井立花伸,464,10.0,2023104456
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,2,2,リヨンド,タイセイレジェンド,シャープキック,牝,3,54.0,吉井章,大井赤嶺亮,502,-1.0,2023100248
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,3,3,シンプウエース,ワールドエース,マンデラ,牡,3,56.0,達城龍次,大井荒井朋弘,433,3.0,2023103027
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,4,4,ワイルドノブクン,ノブワイルド,コウエイベスト,牡,3,56.0,和田譲治,大井赤嶺本浩,473,-2.0,2023104117
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,5,5,オロールシェール,ラブリーデイ,ポップコーンジャズ,牡,3,55.0,中山遥人,大井佐野謙二,534,-2.0,2023100265
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,5,6,リック,ゴールドドリーム,モンヴェール,牝,3,55.0,矢野貴之,大井市村誠,438,6.0,2023100316
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,6,7,トモノホマレ,ゴールドドリーム,モンヴェール,牡,3,56.0,藤田凌,大井上杉昌宏,498,3.0,2023103258
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,6,8,シュヴァルニブロン,ディーマジェスティ,エルメスティアラ,牡,3,56.0,西啓太,大井田中正人,473,1.0,2023102652
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,7,9,ラブミーモンロー,アジアエクスプレス,ランニングボブキャッツ,牝,3,54.0,澤田龍哉,大井荒山勝徳,468,-2.0,2023103026
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,7,10,ハンデンドレイク,モズアスコット,India,牡,3,58.0,本田正重,大井荒山勝徳,497,0.0,2023106194
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,8,11,サヴォア,マテラスカイ,Mostaqeleh,牝,3,54.0,岡村健司,大井高岩孝敏,429,3.0,2023100648
2026/03/27,大井,晴,2,3歳一二三(3歳二),ダ,1200,不,12,8,12,ドナシェーン,Munnings,La Comete,牝,3,55.0,笹川翼,大井米田英世,459,13.0,2023110051
2026/03/27,大井,晴,3,C1二C2二(C1C2),ダ,1000,不,12,1,1,ニンリル,ルヴァンスレーヴ,マエストラーレ,牝,4,55.0,和田譲治,大井嶋田幸晴,467,6.0,2022102353
2026/03/27,大井,晴,3,C1二C2二(C1C2),ダ,1000,不,12,2,2,アンモニャイト,サトノアラジン,マジックストーム,牝,4,55.0,達城龍次,大井鷹見浩,476,1.0,2022105953
2026/03/27,大井,晴,3,C1二C2二(C1C2),ダ,1000,不,12,3,3,ブレイブゼウス,サクラゼウス,サクラブラッサム,牡,7,55.0,安藤洋一,大井嶋田幸晴,523,7.0,2019106277
2026/03/27,大井,晴,3,C1二C2二(C1C2),ダ,1000,不,12,4,4,タガノサダフ,ノーブルミッション,Kind,牡,4,52.0,高橋優,大井村上頼章,471,-4.0,2022107132
2026/03/27,大井,晴,3,C1二C2二(C1C2),ダ,1000,不,12,5,5,サウンドロックス,Catalina Cruiser,Sea Gull,牡,5,57.0,江里口裕,大井高野毅,463,4.0,2021110155
2026/03/27,大井,晴,3,C1二C2二(C1C2),ダ,1000,不,12,5,6,ジャティルウィ,ヘニーハウンド,Beautiful Moment,牡,5,57.0,西啓太,大井中道啓二,545,5.0,2021101329
