date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,1,7,10,ワールドフォンテン,牡,6,53.0,▲杉山海波,105.3,,2,7.4,39.8,1-1-1-1,大井井上弘之,451,1,2020106112
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,2,8,12,ラブリーヨシノ,牡,6,56.0,菅原涼太,105.3,クビ,4,29.8,39.9,2-2-2-2,大井荒井朋弘,451,-6,2020102455
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,3,4,4,ローゼンナイツ,牝,5,54.0,矢野貴之,105.5,1,1,1.2,39.8,5-4-4-4,大井藤田輝信,510,2,2021102429
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,4,3,3,イケノギャルチャン,牝,7,54.0,石川駿介,105.6,3/4,3,11.0,39.6,9-9-11-12,大井岡野尚光,491,-7,2019101304
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,5,5,6,アイアムイブシギン,牡,5,56.0,鷹見陸,105.7,クビ,5,32.6,40.0,6-6-5-5,大井澤佳宏,485,-3,2021102897
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,6,6,8,アイトカコイトカ,牝,4,54.0,横川怜央,105.8,1/2,6,33.5,39.5,10-10-12-11,大井久保杉隆,461,-1,2022109083
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,7,1,1,ブッコワース,牡,5,56.0,仲原大生,105.8,アタマ,11,93.4,39.8,7-7-8-8,大井佐々木洋,457,-2,2021103462
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,8,4,5,ミンナノブンモ,セ,7,55.0,☆谷内貫太,105.9,1/2,12,123.6,40.0,8-8-7-7,大井久保杉隆,479,-4,2019109083
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,9,8,13,フローラルロマンス,牝,7,54.0,澤田龍哉,106.0,1/2,8,41.0,40.6,3-3-3-3,大井田中正人,453,-8,2019109031
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,10,2,2,ブラントンアロー,牡,5,55.0,☆中山遥人,106.9,4,10,49.2,41.0,4-5-6-6,大井須田和伸,462,-6,2021104202
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,11,5,7,ゴッドモード,牡,7,56.0,吉井章,107.0,クビ,7,35.4,41.1,13-13-9-10,大井市村誠,475,-1,2019101552
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,12,7,11,ラインストライカー,セ,7,56.0,野畑凌,107.1,1/2,9,46.5,40.9,11-11-13-13,大井鷹見浩,479,-2,2019102067
2026/03/24,大井,晴,1,C3五六,ダ,1600,良,13,13,6,9,オリリオ,牡,5,56.0,瀬川将輝,107.1,クビ,13,314.3,41.1,12-12-10-9,大井栗田裕光,533,-3,2021106391
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,1,7,12,ミハタタテナシ,牡,5,56.0,千田洋,74.2,,2,9.1,38.0,1-1,大井栗田裕光,540,-1,2021105331
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,2,8,13,ステーション,牝,4,54.0,笹川翼,74.3,1/2,1,1.1,38.1,2-2,大井福田真広,511,4,2022105631
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,3,6,10,イッツバッド,牝,8,54.0,仲原大生,75.7,7,7,51.6,38.2,11-10,大井市村誠,445,-3,2018103552
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,4,5,7,ウルフスタンド,牡,4,56.0,藤本現暉,75.8,3/4,10,162.2,38.8,7-7,大井渡部則夫,513,0,2022103125
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,5,6,9,ケルティックハーツ,牡,4,56.0,吉井章,76.1,1.1/2,3,12.2,39.1,8-9,大井中道啓二,518,9,2022100807
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,6,3,4,ピエナイオス,牝,4,54.0,岡村健司,76.2,3/4,6,24.8,39.6,4-3,大井高岩孝敏,440,-7,2022106573
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,7,8,14,イサゴールド,牝,4,54.0,横川怜央,76.2,ハナ,13,442.7,38.7,10-11,大井庄子昭彦,423,-3,2022101463
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,8,4,6,ミユンガー,牡,4,56.0,達城龍次,76.3,1/2,5,17.5,39.7,5-4,大井堀千亜樹,475,-1,2022106201
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,9,5,8,コーントップス,牝,5,54.0,石川駿介,76.6,1.3/4,11,217.2,38.5,12-12,大井松浦裕之,421,-5,2021105197
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,10,7,11,パンオショコラ,牝,5,51.0,▲杉山海波,76.9,1.1/2,9,150.5,38.2,13,大井村上頼章,504,0,2021105934
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,11,1,1,ハナヒラク,牝,4,54.0,西啓太,77.1,1.1/4,4,15.8,40.3,6-5,大井荒井朋弘,454,3,2022102873
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,12,2,2,ヨシノルビー,牝,4,54.0,菅原涼太,77.1,ハナ,8,83.2,40.0,9-8,大井市村誠,413,-2,2022104445
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,13,3,3,バリアシオン,牝,4,54.0,東原悠善,78.1,5,12,277.7,41.5,3-6,大井庄子昭彦,469,-4,2022106690
2026/03/24,大井,晴,2,C3五六,ダ,1200,良,14,14,4,5,スターオブウーノ,牡,5,56.0,松崎正泰,78.6,2.1/2,14,582.9,39.5,14,大井庄子昭彦,437,-4,2021101890
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,1,6,9,ドリームミヤギ,牡,3,56.0,西啓太,89.8,,3,7.4,40.4,2-2-2,大井荒井朋弘,478,-2,2023104307
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,2,3,3,ミラクルロマンス,牝,3,51.0,▲杉山海波,90.0,1.1/4,7,69.1,39.6,5-4-4,大井納谷和玖,414,6,2023105464
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,3,7,12,トネタロウ,牡,3,56.0,藤田凌,90.5,2.1/2,6,26.6,39.8,7-5-5,大井朝倉実,497,8,2023102289
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,4,1,1,エムジェイベリー,牝,3,54.0,安藤洋一,90.5,ハナ,1,1.5,41.2,1-1-1,大井藤田輝信,495,7,2023109035
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,5,4,5,ヤマジュンハッピ,牝,3,53.0,☆谷内貫太,90.5,クビ,13,249.3,39.7,10-6-6,大井小野寺晋,417,-2,2023103014
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,6,8,14,ロックイットダウン,牡,3,56.0,和田譲治,90.7,3/4,2,5.8,41.1,4-3-3,大井中道啓二,496,1,2023104584
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,7,2,2,ポロリス,牝,3,54.0,石川駿介,90.7,アタマ,11,160.7,39.5,11-8-7,大井朝倉実,444,-1,2023106672
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,8,4,6,フォーカス,牡,3,56.0,張田昂,91.1,2,4,7.6,39.5,6-11-11,大井橋本和馬,460,3,2023105955
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,9,6,10,カツノベラミ,牡,3,56.0,福原杏,91.5,2,10,144.8,40.3,9-9-9,大井阪本一栄,450,0,2023102711
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,10,3,4,ニュークチュール,牝,3,54.0,野畑凌,91.7,1,5,14.8,40.5,3-7-8,大井坂井英光,449,-2,2023103509
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,11,8,13,ロジャーバロン,牡,3,55.0,☆中山遥人,91.8,クビ,8,91.0,39.1,14-14-13,大井福永敏,427,3,2023105087
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,12,5,7,ユウユウチャパティ,牝,3,54.0,瀬川将輝,92.0,1,12,189.1,40.3,13-12-10,大井大宮和也,434,-5,2023100671
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,13,5,8,グラッドキングダム,牡,3,56.0,菅原涼太,92.5,2.1/2,9,126.3,40.2,12-13-12,大井荒井朋弘,455,0,2023106042
2026/03/24,大井,晴,3,3歳1112,ダ,1400,良,14,14,7,11,ライスプディング,牝,3,51.0,▲高橋優,94.2,8,14,262.3,42.6,8-10-14,大井栗田裕光,423,4,2023101203
2026/03/24,大井,晴,4,3歳1112,ダ,1200,良,11,1,8,11,ベラジオスピード,牡,3,56.0,笹川翼,76.3,,1,1.2,38.7,3-3,大井福田真広,471,-16,2023102816
2026/03/24,大井,晴,4,3歳1112,ダ,1200,良,11,2,6,6,リップスキップ,牝,3,53.0,☆谷内貫太,76.9,3,4,16.3,39.5,2-2,大井嶋田幸晴,521,0,2023100665
2026/03/24,大井,晴,4,3歳1112,ダ,1200,良,11,3,8,10,プレストセプター,牡,3,56.0,江里口裕,77.2,1.3/4,5,16.7,39.3,6-5,大井鷹見浩,502,0,2023103001
2026/03/24,大井,晴,4,3歳1112,ダ,1200,良,11,4,7,9,レモンクォーツ,牡,3,56.0,藤本現暉,77.5,1.3/4,6,18.7,39.3,7-7,大井蛯名雄太,479,-5,2023104097
2026/03/24,大井,晴,4,3歳1112,ダ,1200,良,11,5,6,7,アースフレンドリー,牝,3,54.0,東原悠善,77.5,クビ,9,108.0,38.5,11-11,大井佐々木洋,435,-4,2023100088
2026/03/24,大井,晴,4,3歳1112,ダ,1200,良,11,6,2,2,ヤングオーオー,牝,3,51.0,▲高橋優,77.5,ハナ,8,99.7,40.3,1-1,大井朝倉実,426,-8,2023106678
