course,race_number,surface,distance,horse_id,bracket_number,horse_number,horse_name,time,remaining_stamina,stamina_capacity,avg_velocity,max_velocity,last_3f,passing_order,strategy,spurt_dist,is_exhausted,lane,rank
大井,3,ダ,1200,2023100522,3,3,サルーキ,74.0,0,1324.8,16.22,16.56,38.5,2-1-1,Lead,348.88,True,0.0,1
大井,3,ダ,1200,2023104124,1,1,ムサシアイドル,74.4,0,1411.2,16.13,16.21,37.2,3-2-2,Front,399.08,True,1.0,2
大井,3,ダ,1200,2023100575,2,2,フレアリングバロン,74.5,0,1512.0,16.11,16.72,36.6,8-4-3,Sustained,548.58,True,3.0,3
大井,3,ダ,1200,2023101340,4,6,タケゾウ,76.5,0,1512.0,15.69,16.8,38.2,5-5-4,Sustained,548.77,True,3.15,4
大井,3,ダ,1200,2023104573,3,4,ゴールドモア,76.7,0,1512.0,15.65,16.33,37.7,12-6-5,Sustained,549.13,True,3.15,5
大井,3,ダ,1200,2023101419,4,5,アークルージエ,77.0,0,1512.0,15.58,16.37,37.9,11-8-6,Sustained,549.14,True,4.1,6
大井,3,ダ,1200,2023100487,8,14,ニャンモロー,78.1,0,1324.8,15.36,16.89,41.9,1-3-8,Lead,349.07,True,0.1,7
大井,3,ダ,1200,2023106036,6,9,タイセイディエティ,78.2,0,1512.0,15.35,16.77,39.4,7-10-7,Sustained,549.64,True,4.25,8
大井,3,ダ,1200,2023102821,5,8,ケテンビート,78.5,0,1411.2,15.29,15.98,39.9,6-7-10,Front,398.67,True,1.1,9
大井,3,ダ,1200,2023103035,6,10,ミドルマン,78.9,0,1411.2,15.21,16.16,40.4,4-9-9,Front,399.81,True,1.1,10
大井,3,ダ,1200,2023104514,5,7,ゴーゴーメロディ,79.8,0,1411.2,15.04,15.49,40.2,14-11-14,Front,398.71,True,1.1,11
大井,3,ダ,1200,2023103021,7,12,リュウノギフト,80.1,0,1512.0,14.98,16.65,40.7,10-12-11,Sustained,549.16,True,3.1,12
大井,3,ダ,1200,2023105198,7,11,ホクトヴェルテクス,80.4,0,1512.0,14.93,16.32,40.3,13-14-13,Sustained,549.74,True,3.15,13
大井,3,ダ,1200,2023102297,8,13,リックシーリン,80.7,0,1512.0,14.87,16.66,41.1,9-13-12,Sustained,549.01,True,3.1,14
大井,6,ダ,1200,2022102290,3,3,ペイシャケリー,72.2,0,1411.2,16.62,17.36,37.1,1-1-1,Front,399.31,True,1.0,1
大井,6,ダ,1200,2022100421,2,2,シルエットライド,73.7,0,1512.0,16.28,17.09,36.6,8-3-2,Sustained,549.63,True,3.0,2
大井,6,ダ,1200,2020101473,1,1,ファサード,74.0,0,1411.2,16.22,16.34,37.1,7-2-3,Front,399.83,True,1.1,3
大井,6,ダ,1200,2022104146,4,6,デルタウェーブ,75.1,0,1411.2,15.98,16.83,38.6,2-4-4,Front,398.55,True,1.15,4
大井,6,ダ,1200,2022106274,4,5,ゼーブルージュ,75.9,0,1512.0,15.81,16.82,37.8,12-6-5,Sustained,549.56,True,3.1,5
大井,6,ダ,1200,2018103737,5,7,ユウユウスターリー,76.6,0,1411.2,15.67,16.48,39.2,6-5-6,Front,399.44,True,1.15,6
大井,6,ダ,1200,2017101047,5,8,カガヤキスバル,77.0,0,1512.0,15.58,17.06,39.0,10-9-7,Sustained,548.8,True,3.1,7
大井,6,ダ,1200,2022104484,3,4,ティエルナトート,77.2,0,1512.0,15.54,16.18,37.8,14-11-11,Sustained,549.87,True,3.25,8
大井,6,ダ,1200,2022105266,6,9,リッチバンケット,77.3,0,1411.2,15.52,16.54,39.8,4-7-9,Front,398.66,True,1.1,9
大井,6,ダ,1200,2022103719,6,10,サマーツアー,77.4,0,1512.0,15.5,17.35,39.7,5-8-8,Sustained,549.16,True,3.45,10
大井,6,ダ,1200,2022101208,7,12,ヨシノリラ,78.5,0,1411.2,15.29,16.63,40.7,3-10-10,Front,398.95,True,1.1,11
大井,6,ダ,1200,2020106021,7,11,マイネルサンテ,79.2,0,1512.0,15.15,16.85,40.3,11-13-12,Sustained,549.94,True,3.15,12
大井,6,ダ,1200,2020102369,8,13,リコーステアー,79.7,0,1512.0,15.06,17.1,41.1,9-12-13,Sustained,549.82,True,3.15,13
大井,6,ダ,1200,2022101875,8,14,アオイフォトグラフ,80.9,0,1512.0,14.83,16.8,41.5,13-14-14,Sustained,549.96,True,3.1,14
大井,7,ダ,1200,2021110021,1,1,スピリットガイド,70.0,0,1512.0,17.14,18.6,35.8,1-1-1,Sustained,549.14,True,3.0,1
大井,7,ダ,1200,2021104268,3,3,タケシ,72.1,0,1411.2,16.64,17.38,37.0,3-2-2,Front,399.89,True,1.0,2
大井,7,ダ,1200,2022105256,5,5,ミラクルメイキング,72.4,0,1411.2,16.57,17.64,37.5,2-3-3,Front,399.01,True,1.1,3
大井,7,ダ,1200,2020102238,2,2,スタードラマー,73.2,0,1512.0,16.39,17.34,36.6,7-6-4,Sustained,549.11,True,3.15,4
大井,7,ダ,1200,2019103233,6,6,ニシノデフィレ,73.6,0,1512.0,16.3,18.11,37.9,4-4-5,Sustained,548.43,True,3.1,5
大井,7,ダ,1200,2019106594,4,4,アイアンサイズ,73.7,0,1411.2,16.28,16.98,37.7,5-5-6,Front,399.95,True,1.15,6
大井,7,ダ,1200,2021101351,8,8,サッキーミツグ,76.2,0,1411.2,15.75,16.76,39.2,6-7-7,Front,398.77,True,1.1,7
大井,7,ダ,1200,2021104695,7,7,トーセンヴィオラ,77.1,0,1411.2,15.56,16.28,39.3,8-8-8,Front,399.11,True,1.15,8
大井,10,ダ,1200,2022103176,1,1,アイルビリーヴ,72.0,0,1411.2,16.67,17.1,36.6,1-1-1,Front,398.94,True,1.0,1
大井,10,ダ,1200,2022101357,2,2,ケイコウギュウゴ,74.0,0,1512.0,16.22,16.97,36.6,6-4-2,Sustained,549.36,True,3.0,2
大井,10,ダ,1200,2021109082,3,3,アミフジモアナ,74.3,0,1411.2,16.15,16.56,37.6,4-2-3,Front,398.42,True,1.05,3
大井,10,ダ,1200,2021106075,4,4,ナンセイタイム,74.7,0,1411.2,16.06,16.6,37.9,3-3-4,Front,399.06,True,1.1,4
大井,10,ダ,1200,2022103349,8,9,ジーティーマジカル,76.0,0,1411.2,15.79,16.99,39.4,2-5-6,Front,399.01,True,1.1,5
大井,10,ダ,1200,2020101866,7,7,アオイコウキ,76.3,0,1512.0,15.73,17.16,38.6,5-6-5,Sustained,548.52,True,3.1,6
大井,10,ダ,1200,2022107109,5,5,ゴールドグラント,76.4,0,1512.0,15.71,16.6,37.8,10-8-9,Sustained,548.53,True,3.9,7
大井,10,ダ,1200,2021103864,6,6,タイヘイノヨ,76.4,0,1512.0,15.71,16.83,38.2,8-7-7,Sustained,549.36,True,3.7,8
大井,10,ダ,1200,2022103029,7,8,ガストフロント,77.4,0,1512.0,15.5,16.89,39.0,7-9-8,Sustained,549.86,True,3.1,9
大井,10,ダ,1200,2022105750,8,10,クレイジーフルーツ,78.9,0,1512.0,15.21,16.71,39.9,9-10-10,Sustained,548.95,True,3.1,10
