course,distance,race_number,horse_id,horse_name,time,remaining_stamina,avg_velocity,rank
船橋,1600,0,2018102657,キングストンボーイ,93.5,1644.53,17.11,1
船橋,1600,0,2019105913,ライラボンド,96.5,1652.69,16.58,2
船橋,1600,0,2021102078,ジョージテソーロ,96.8,1653.87,16.53,3
船橋,1600,0,2020103785,コンティノアール,96.9,1654.11,16.51,4
船橋,1600,0,2018100829,ウィリアムバローズ,97.1,1654.48,16.48,5
船橋,1600,0,2017105097,グランデマーレ,97.7,1656.44,16.38,6
船橋,1600,0,2020104846,ワンダーランド,98.1,1657.22,16.31,7
船橋,1600,0,2018102078,カールスバート,99.2,1660.39,16.13,8
船橋,1600,0,2018105553,ゴールドレガシー,99.3,1660.65,16.11,9
船橋,1600,0,2020100300,ジョーエスポワール,100.1,1662.74,15.98,10
船橋,1600,0,2022102246,リコースパロー,100.6,1663.75,15.9,11
船橋,1600,0,2018104033,ギガキング,101.5,1666.09,15.76,12
船橋,1600,0,2020101332,オーマイグッネス,102.3,1668.22,15.64,13
船橋,1600,0,2021106935,サントノーレ,102.5,1668.45,15.61,14
