course,race_number,surface,distance,horse_id,bracket_number,horse_number,horse_name,time,remaining_stamina,avg_velocity,max_velocity,last_3f,passing_order,rank
園田,11,ダ,1870,2022105028,8,9,プロミストジーン,115.6,1879.03,16.18,16.34,36.5,1-1-1,1
園田,11,ダ,1870,2022103274,4,4,メモリアカフェ,121.3,1896.26,15.42,15.57,38.3,2-2-2,2
園田,11,ダ,1870,2020100930,7,7,ライオットガール,123.6,1902.57,15.13,15.28,39.0,3-3-3,3
園田,11,ダ,1870,2021100980,7,8,オーケーバーディー,123.7,1902.95,15.12,15.27,39.1,4-4-4,4
園田,11,ダ,1870,2022102334,3,3,コパノエミリア,124.7,1905.6,15.0,15.14,39.4,5-5-5,5
園田,11,ダ,1870,2021106832,2,2,カルテメトレス,125.6,1907.95,14.89,15.04,39.7,6-6-6,6
園田,11,ダ,1870,2020105877,8,10,ラヴィアン,126.4,1910.22,14.79,14.94,39.9,7-7-7,7
園田,11,ダ,1870,2021106238,1,1,モンゲーギフト,127.8,1914.15,14.63,14.77,40.3,8-8-8,8
園田,11,ダ,1870,2019103091,6,6,アキュートガール,128.1,1914.59,14.6,14.74,40.5,9-9-9,9
園田,11,ダ,1870,2022109093,5,5,キミノハート,129.9,1919.26,14.4,14.53,41.0,10-10-10,10
